launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
16603,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_sing_cart_ga.json,PASSED,0.00,2022-04-09 12:03:36,14.6875,32_wop_s1-32_sing_cart_ga.json,536,3
16573,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_sing_rbs_ea.json,TLE,0.00,2022-04-09 11:31:54,89.10416667,32_wop_s1-32_sing_rbs_ea.json,539,4
16583,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_s1-32_sing_rbs_ga.json,TLE,0.00,2022-04-09 11:43:46,89.10416667,32_wop_s1-32_sing_rbs_ga.json,712,7
17193,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_rec_cart_ea.json,TLE,0.00,2022-04-09 21:04:07,89.10416667,32_wp_m1-21_rec_cart_ea.json,359,2
17203,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_rec_cart_ga.json,TLE,0.00,2022-04-09 21:11:07,89.10416667,32_wp_m1-21_rec_cart_ga.json,420,2
17173,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_rec_rbs_ea.json,PASSED,0.00,2022-04-09 20:51:59,86.16666667,32_wp_m1-21_rec_rbs_ea.json,343,1
17183,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_rec_rbs_ga.json,TLE,0.00,2022-04-09 20:58:08,89.10416667,32_wp_m1-21_rec_rbs_ga.json,369,2
17153,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_sing_cart_ea.json,TLE,0.00,2022-04-09 20:41:04,89.10416667,32_wp_m1-21_sing_cart_ea.json,450,3
17163,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_sing_cart_ga.json,PASSED,0.00,2022-04-09 20:46:16,56.79166667,32_wp_m1-21_sing_cart_ga.json,312,1
17133,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_sing_rbs_ea.json,TLE,0.00,2022-04-09 20:28:13,89.10416667,32_wp_m1-21_sing_rbs_ea.json,359,2
17143,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_m1-21_sing_rbs_ga.json,PASSED,0.00,2022-04-09 20:33:34,46.02083333,32_wp_m1-21_sing_rbs_ga.json,321,1
17273,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_rec_cart_ea.json,TLE,0.00,2022-04-09 21:51:29,89.10416667,32_wp_ms1-20_rec_cart_ea.json,351,2
17283,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_rec_cart_ga.json,PASSED,0.00,2022-04-09 21:58:12,88.125,32_wp_ms1-20_rec_cart_ga.json,403,1
17253,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_rec_rbs_ea.json,PASSED,0.00,2022-04-09 21:40:17,82.25,32_wp_ms1-20_rec_rbs_ea.json,306,1
