Duration: 300
step,size,rho,fit
393,13,0.987,14.4
394,13,0.987,14.4
395,13,0.989,14.2
396,13,0.989,14.2
397,13,0.989,14.2
398,13,0.989,14.2
399,13,0.989,14.2
400,13,0.989,14.2
401,13,0.989,14.2
402,13,0.989,14.2
403,13,0.989,14.2
404,13,0.989,14.2
405,13,0.989,14.2
406,13,0.989,14.2
407,13,0.989,14.2
408,13,0.989,14.2
409,13,0.989,14.2
410,13,0.989,14.2
411,13,0.989,14.2
412,13,0.989,14.2
413,13,0.989,14.2
414,13,0.989,14.2
415,13,0.989,14.2
416,13,0.989,14.2
417,13,0.989,14.2
418,13,0.989,14.2
419,13,0.989,14.2
420,13,0.989,14.2
421,13,0.989,14.2
422,13,0.989,14.2
423,13,0.989,14.2
424,13,0.989,14.2
425,13,0.989,14.2
426,13,0.989,14.2
427,13,0.989,14.2
428,13,0.989,14.2
429,13,0.989,14.2
430,13,0.989,14.2
431,13,0.989,14.2
432,13,0.989,14.2
433,13,0.989,14.2
434,13,0.989,14.2
435,13,0.989,14.2
436,13,0.989,14.2
437,13,0.989,14.2
438,13,0.989,14.2
439,13,0.989,14.2
440,13,0.989,14.2
441,13,0.989,14.2
442,13,0.989,14.2
443,13,0.99,14.2
444,13,0.99,14.2
445,13,0.99,14.2
446,13,0.99,14.2
447,13,0.99,14.2
448,13,0.99,14.2
449,13,0.99,14.2
450,13,0.99,14.2
451,13,0.99,14.2
452,13,0.99,14.2
453,13,0.99,14.2
454,13,0.99,14.2
455,13,0.99,14.2
456,13,0.99,14.2
457,13,0.99,14.2
458,13,0.99,14.2
459,13,0.99,14.2
460,13,0.99,14.2
461,13,0.99,14.2
462,13,0.99,14.2
463,13,0.99,14.2
464,13,0.99,14.2
465,13,0.99,14.2
466,13,0.99,14.2
467,13,0.99,14.2
468,13,0.99,14.2
469,13,0.99,14.2
470,13,0.99,14.2
471,13,0.99,14.2
472,13,0.99,14.2
473,13,0.99,14.2
474,13,0.99,14.2
475,13,0.99,14.2
476,13,0.99,14.2
477,13,0.991,14.1
478,13,0.991,14.1
479,13,0.991,14.1
480,13,0.991,14.1
481,13,0.991,14.1
482,13,0.991,14.1
483,13,0.991,14.1
484,13,0.991,14.1
485,13,0.991,14.1
486,13,0.991,14.1
487,13,0.991,14.1
488,13,0.991,14.1
489,13,0.991,14.1
490,13,0.991,14.1
491,13,0.991,14.1
492,13,0.991,14.1
493,13,0.991,14.1
494,12,0.989,14
495,12,0.989,14
496,12,0.989,14
497,12,0.989,14
498,12,0.989,14
499,12,0.989,14
500,12,0.989,14
501,12,0.989,14
502,12,0.989,14
503,12,0.989,14
