Duration: 300
step,size,rho,fit
366,13,0.982,14.7
367,13,0.982,14.7
368,13,0.982,14.7
369,13,0.982,14.7
370,13,0.982,14.7
371,13,0.982,14.7
372,13,0.982,14.7
373,13,0.982,14.7
374,13,0.982,14.7
375,13,0.982,14.7
376,13,0.982,14.7
377,13,0.982,14.7
378,13,0.982,14.7
379,13,0.982,14.7
380,13,0.982,14.7
381,13,0.982,14.7
382,13,0.982,14.7
383,13,0.982,14.7
384,13,0.982,14.7
385,13,0.982,14.7
386,13,0.982,14.7
387,13,0.982,14.7
388,13,0.982,14.7
389,13,0.982,14.7
390,13,0.982,14.7
391,13,0.982,14.7
392,13,0.982,14.7
393,13,0.982,14.7
394,13,0.982,14.7
395,13,0.982,14.7
396,13,0.982,14.7
397,13,0.982,14.7
398,13,0.982,14.7
399,13,0.982,14.7
400,13,0.982,14.7
401,13,0.982,14.7
402,13,0.982,14.7
403,13,0.982,14.7
404,13,0.982,14.7
405,13,0.982,14.7
406,13,0.982,14.7
407,13,0.982,14.7
408,13,0.982,14.7
409,13,0.982,14.7
410,13,0.982,14.7
411,13,0.982,14.7
412,13,0.982,14.7
413,13,0.982,14.7
414,13,0.982,14.7
415,13,0.982,14.7
416,13,0.982,14.7
417,13,0.982,14.7
418,13,0.982,14.7
419,13,0.982,14.7
420,13,0.982,14.7
421,13,0.982,14.7
422,13,0.982,14.7
423,13,0.982,14.7
424,13,0.982,14.7
425,13,0.982,14.7
426,13,0.982,14.7
427,13,0.982,14.7
428,13,0.982,14.7
429,13,0.982,14.7
430,13,0.982,14.7
431,13,0.982,14.7
432,13,0.982,14.7
433,13,0.982,14.7
434,13,0.982,14.7
435,13,0.982,14.7
436,13,0.982,14.7
437,13,0.982,14.7
438,13,0.982,14.7
439,13,0.982,14.7
440,13,0.982,14.7
441,13,0.982,14.7
442,13,0.982,14.7
443,13,0.982,14.7
444,13,0.982,14.7
445,13,0.982,14.7
446,13,0.982,14.7
447,13,0.982,14.7
448,13,0.982,14.7
449,13,0.982,14.7
450,13,0.982,14.7
451,13,0.982,14.7
452,13,0.982,14.7
453,13,0.982,14.7
454,13,0.982,14.7
455,13,0.982,14.7
456,13,0.982,14.7
457,13,0.982,14.7
458,13,0.982,14.7
459,13,0.982,14.7
460,13,0.982,14.7
461,13,0.982,14.7
462,13,0.982,14.7
463,13,0.982,14.7
464,13,0.982,14.7
465,13,0.982,14.7
466,13,0.982,14.7
467,13,0.982,14.7
468,13,0.982,14.7
469,13,0.982,14.7
470,13,0.982,14.7
471,13,0.982,14.7
472,13,0.982,14.7
473,13,0.982,14.7
474,13,0.982,14.7
475,13,0.982,14.7
476,13,0.982,14.7
477,13,0.982,14.7
478,13,0.982,14.7
479,13,0.982,14.7
480,13,0.982,14.7
481,13,0.982,14.7
482,13,0.982,14.7
483,13,0.982,14.7
484,13,0.982,14.7
485,13,0.982,14.7
486,13,0.982,14.7
487,13,0.982,14.7
488,13,0.982,14.7
489,13,0.982,14.7
490,13,0.982,14.7
491,13,0.982,14.7
492,13,0.982,14.7
493,13,0.982,14.7
494,13,0.982,14.7
495,13,0.982,14.7
496,13,0.982,14.7
497,13,0.982,14.7
498,13,0.982,14.7
499,13,0.982,14.7
500,13,0.982,14.7
501,13,0.982,14.7
502,13,0.982,14.7
503,13,0.982,14.7
504,13,0.982,14.7
505,13,0.982,14.7
506,13,0.982,14.7
507,13,0.982,14.7
508,13,0.982,14.7
509,13,0.982,14.7
510,13,0.982,14.7
511,13,0.982,14.7
512,13,0.982,14.7
513,13,0.982,14.7
514,13,0.982,14.7
515,13,0.982,14.7
516,13,0.982,14.7
517,13,0.982,14.7
518,13,0.982,14.7
519,13,0.982,14.7
520,13,0.982,14.7
521,13,0.982,14.7
522,13,0.982,14.7
523,13,0.982,14.7
524,13,0.982,14.7
525,13,0.982,14.7
526,13,0.982,14.7
527,13,0.982,14.7
528,13,0.982,14.7
529,13,0.982,14.7
530,13,0.982,14.7
531,13,0.982,14.7
532,13,0.982,14.7
533,13,0.982,14.7
534,13,0.982,14.7
535,13,0.982,14.7
536,13,0.982,14.7
537,13,0.982,14.7
538,13,0.982,14.7
539,13,0.982,14.7
540,13,0.982,14.7
541,13,0.982,14.7
542,13,0.982,14.7
543,13,0.982,14.7
544,13,0.982,14.7
545,13,0.982,14.7
546,13,0.982,14.7
547,13,0.982,14.7
548,13,0.982,14.7
549,13,0.982,14.7
550,13,0.982,14.7
551,13,0.982,14.7
552,13,0.982,14.7
553,13,0.982,14.7
554,13,0.982,14.7
555,13,0.982,14.7
556,13,0.982,14.7
557,13,0.982,14.7
558,13,0.982,14.7
559,13,0.982,14.7
560,13,0.982,14.7
561,13,0.982,14.7
562,13,0.982,14.7
