Duration: 300
step,size,rho,fit
418,12,0.996,13
419,12,0.996,13
420,12,0.996,13
421,12,0.996,13
422,12,0.996,13
423,12,0.996,13
424,12,0.996,13
425,12,0.996,13
426,12,0.996,13
427,12,0.996,13
428,12,0.996,13
429,12,0.996,13
430,12,0.996,13
431,12,0.996,13
432,12,0.996,13
433,12,0.996,13
434,12,0.996,13
435,12,0.996,13
436,12,0.996,13
437,12,0.996,13
438,12,0.996,13
439,12,0.996,13
440,12,0.996,13
441,12,0.996,13
442,12,0.996,13
443,12,0.996,13
444,12,0.996,13
445,12,0.996,13
446,12,0.996,13
447,12,0.996,13
448,12,0.996,13
449,12,0.996,13
450,12,0.996,13
451,12,0.996,13
452,12,0.996,13
453,12,0.996,13
454,12,0.996,13
455,12,0.996,13
456,12,0.996,13
457,12,0.996,13
458,12,0.996,13
459,12,0.996,13
460,12,0.996,13
461,12,0.996,13
462,12,0.996,13
463,12,0.996,13
464,12,0.996,13
465,12,0.996,13
466,12,0.996,13
467,12,0.996,13
468,12,0.996,13
469,12,0.996,13
470,12,0.996,13
471,12,0.996,13
472,12,0.996,13
473,12,0.996,13
474,12,0.996,13
475,12,0.996,13
476,12,0.996,13
477,12,0.996,13
478,12,0.996,13
479,12,0.996,13
480,12,0.996,13
481,12,0.996,13
482,12,0.996,13
483,12,0.996,13
484,12,0.996,13
485,12,0.996,13
486,12,0.996,13
487,12,0.996,13
488,12,0.996,13
489,12,0.996,13
490,12,0.996,13
491,12,0.996,13
492,12,0.996,13
493,12,0.996,13
494,12,0.996,13
495,12,0.996,13
496,12,0.996,13
497,12,0.996,13
498,12,0.996,13
499,12,0.996,13
500,12,0.996,13
501,12,0.996,13
502,12,0.996,13
503,12,0.996,13
504,12,0.996,13
505,12,0.996,13
506,12,0.996,13
507,12,0.996,13
508,12,0.996,13
509,12,0.996,13
510,12,0.996,13
511,12,0.996,13
512,12,0.996,13
513,12,0.996,13
514,12,0.996,13
515,12,0.996,13
516,12,0.996,13
517,12,0.996,13
518,12,0.996,13
519,12,0.996,13
520,12,0.996,13
521,12,0.996,13
522,12,0.996,13
523,12,0.996,13
524,12,0.996,13
525,12,0.996,13
526,12,0.996,13
527,12,0.996,13
528,12,0.996,13
529,12,0.996,13
530,12,0.996,13
531,12,0.996,13
532,12,0.996,13
533,12,0.996,13
534,12,0.996,13
535,12,0.996,13
536,12,0.996,13
537,12,0.996,13
538,12,0.996,13
539,12,0.996,13
540,12,0.996,13
541,12,0.996,13
542,12,0.996,13
543,12,0.996,13
544,12,0.996,13
545,12,0.996,13
546,12,0.996,13
547,12,0.996,13
548,12,0.996,13
549,12,0.996,13
550,12,0.996,13
551,12,0.996,13
552,12,0.996,13
553,12,0.996,13
554,12,0.996,13
555,12,0.996,13
556,12,0.996,13
557,12,0.996,13
558,12,0.996,13
559,12,0.996,13
560,12,0.996,13
561,12,0.996,13
562,12,0.996,13
563,12,0.996,13
564,12,0.996,13
565,12,0.996,13
566,12,0.996,13
567,12,0.996,13
568,12,0.996,13
569,12,0.996,13
570,12,0.996,13
571,12,0.996,13
572,12,0.996,13
573,12,0.996,13
574,12,0.996,13
575,12,0.996,13
576,12,0.996,13
577,12,0.996,13
