Duration: 300
step,size,rho,fit
412,14,0.958,15.9
413,14,0.958,15.9
414,14,0.958,15.9
415,14,0.958,15.9
416,14,0.958,15.9
417,14,0.958,15.9
418,14,0.958,15.9
419,14,0.958,15.9
420,14,0.958,15.9
421,14,0.958,15.9
422,14,0.958,15.9
423,14,0.958,15.9
424,14,0.958,15.9
425,14,0.958,15.9
426,14,0.958,15.9
427,14,0.958,15.9
428,14,0.958,15.9
429,14,0.958,15.9
430,14,0.958,15.9
431,14,0.958,15.9
432,14,0.958,15.9
433,14,0.958,15.9
434,14,0.958,15.9
435,14,0.958,15.9
436,14,0.958,15.9
437,14,0.958,15.9
438,14,0.958,15.9
439,14,0.958,15.9
440,14,0.958,15.9
441,14,0.958,15.9
442,14,0.958,15.9
443,14,0.958,15.9
444,14,0.958,15.9
445,14,0.958,15.9
446,14,0.958,15.9
447,14,0.958,15.9
448,14,0.958,15.9
449,14,0.958,15.9
450,14,0.958,15.9
451,14,0.958,15.9
452,14,0.958,15.9
453,14,0.958,15.9
454,14,0.958,15.9
455,14,0.958,15.9
456,14,0.958,15.9
457,14,0.958,15.9
458,14,0.958,15.9
459,14,0.958,15.9
460,14,0.958,15.9
461,14,0.958,15.9
462,14,0.958,15.9
463,14,0.958,15.9
464,14,0.958,15.9
465,14,0.958,15.9
466,14,0.958,15.9
467,14,0.958,15.9
468,14,0.958,15.9
469,14,0.958,15.9
470,14,0.958,15.9
471,14,0.958,15.9
472,14,0.958,15.9
473,14,0.958,15.9
474,14,0.958,15.9
475,14,0.958,15.9
476,14,0.958,15.9
477,14,0.958,15.9
478,14,0.958,15.9
479,14,0.958,15.9
480,14,0.958,15.9
481,14,0.958,15.9
482,14,0.958,15.9
483,14,0.958,15.9
484,14,0.958,15.9
485,14,0.958,15.9
486,14,0.958,15.9
487,14,0.958,15.9
488,14,0.958,15.9
489,14,0.958,15.9
490,14,0.958,15.9
491,14,0.958,15.9
492,14,0.958,15.9
493,14,0.958,15.9
494,14,0.958,15.9
495,14,0.958,15.9
496,14,0.958,15.9
497,14,0.958,15.9
498,14,0.958,15.9
